"Ekl","Alter","N","Hg","H100","G","Dg","Dw","V","N_aus","G_aus","Dg_aus","V_aus","iV","GWL","dGZ"
2,155,117,28.2,28.7,26,53.2,61.2,391,7,1.5,53.1,22,5.9,873,5.6
2,160,111,28.6,29,26.2,54.8,63.1,398,6,1.5,55.1,22,5.8,903,5.6
2,165,105,28.9,29.3,26.4,56.5,65,405,6,1.5,56.7,22,5.8,931,5.6
2,170,100,29.2,29.6,26.5,58.2,66.8,411,5,1.4,58,22,5.7,960,5.6
2,175,95,29.5,29.9,26.6,59.8,68.7,417,5,1.4,59.2,22,5.6,988,5.6
2,180,90,29.8,30.1,26.6,61.5,70.6,422,5,1.4,60.4,22,5.6,1016,5.6
3,40,1428,9.8,10.9,13.3,10.9,12.5,39,409,1.2,6.1,6,4.1,57,1.4
3,45,1146,11.1,12.1,14.4,12.7,14.4,55,282,1.2,7.3,6,4.5,80,1.8
3,50,941,12.2,13.2,15.3,14.4,16.3,72,205,1.2,8.4,7,4.8,104,2.1
3,55,786,13.3,14.3,16.1,16.2,18.2,89,155,1.1,9.7,8,5,129,2.3
3,60,668,14.3,15.2,16.8,17.9,20,107,118,1.2,11.1,8,5.1,155,2.6
3,65,576,15.3,16.1,17.4,19.6,21.9,124,92,1.2,12.7,9,5.2,181,2.8
3,70,504,16.1,17,18,21.3,23.8,140,72,1.2,14.4,10,5.3,207,3
3,75,446,17,17.7,18.6,23,25.6,157,58,1.2,16.3,10,5.3,234,3.1
3,80,399,17.7,18.5,19.2,24.7,27.5,172,47,1.2,18.1,11,5.4,261,3.3
3,85,360,18.5,19.2,19.7,26.4,29.3,187,39,1.2,20,12,5.4,288,3.4
3,90,326,19.2,19.8,20.3,28.1,31.2,202,33,1.2,21.9,12,5.4,315,3.5
3,95,298,19.8,20.4,20.8,29.8,33,216,29,1.3,23.7,13,5.4,341,3.6
3,100,273,20.4,21,21.2,31.5,34.8,229,25,1.3,25.5,14,5.4,368,3.7
3,105,251,21,21.5,21.7,33.2,36.7,241,22,1.3,27.4,14,5.3,395,3.8
3,110,232,21.5,22.1,22.1,34.8,38.5,253,19,1.3,29.3,15,5.3,421,3.8
3,115,215,22.1,22.6,22.4,36.5,40.3,265,17,1.3,31.2,15,5.3,448,3.9
3,120,200,22.5,23,22.8,38.1,42.1,276,15,1.3,33.1,15,5.3,474,4
3,125,186,23,23.5,23.1,39.8,43.9,286,14,1.3,34.9,16,5.2,500,4
3,130,173,23.5,23.9,23.4,41.4,45.7,296,12,1.3,36.8,16,5.2,526,4
3,135,162,23.9,24.3,23.6,43.1,47.5,305,11,1.3,38.6,16,5.1,552,4.1
3,140,152,24.3,24.7,23.9,44.7,49.3,314,10,1.3,40.6,17,5.1,577,4.1
3,145,143,24.7,25,24.1,46.3,51.1,322,9,1.3,42.6,17,5.1,603,4.2
3,150,135,25.1,25.4,24.3,48,52.9,330,8,1.3,44.7,17,5,628,4.2
3,155,127,25.4,25.7,24.6,49.6,54.7,338,8,1.3,46.9,17,5,653,4.2
3,160,120,25.7,26,24.8,51.2,56.5,345,7,1.3,48.8,18,5,678,4.2
3,165,114,26.1,26.4,24.9,52.8,58.3,352,6,1.3,50.5,18,4.9,702,4.3
3,170,108,26.4,26.7,25.1,54.4,60,358,6,1.3,51.9,18,4.9,727,4.3
3,175,102,26.7,26.9,25.1,56.1,61.8,365,6,1.3,53.2,18,4.8,751,4.3
3,180,96,27,27.2,25.2,57.7,63.6,371,5,1.3,54.4,18,4.8,775,4.3
