"Ekl","Alter","N","Hg","H100","G","Dg","Dw","V","N_aus","G_aus","Dg_aus","V_aus","iV","GWL","dGZ"
3,60,1049,17.4,18.3,27.8,18.4,26.9,219,150,3.1,16.1,24,12.1,380,6.3
3,65,953,18.8,19.7,30.1,20,29,254,95,3,20,26,12.1,441,6.8
3,70,893,20.1,21.1,32.2,21.4,30.9,287,60,3,25,27,12,501,7.2
3,75,832,21.3,22.3,34,22.8,32.6,319,61,2.9,24.8,28,11.9,560,7.5
3,80,784,22.4,23.4,35.6,24,34.2,348,48,3,27.9,30,11.8,619,7.7
3,85,741,23.5,24.4,36.9,25.2,35.8,375,43,3,29.7,31,11.6,677,8
3,90,699,24.4,25.4,38.1,26.3,37.2,401,43,3,29.9,32,11.4,735,8.2
3,95,655,25.2,26.2,39.3,27.6,38.5,424,44,3,29.4,33,11.2,791,8.3
3,100,609,26,27,40.4,29.1,39.7,445,45,3,29.1,34,11,846,8.5
3,105,564,26.7,27.7,41.5,30.6,40.9,465,46,3,28.9,34,10.8,900,8.6
3,110,518,27.4,28.4,42.5,32.3,41.9,483,46,3,28.8,35,10.6,953,8.7
3,115,472,28,29,43.6,34.3,42.9,500,46,3,28.7,35,10.4,1005,8.7
3,120,426,28.5,29.5,44.6,36.5,43.9,515,46,3,28.7,36,10.2,1057,8.8
